"","(Intercept)","NeighborhoodBlueste","NeighborhoodBrDale","NeighborhoodBrkSide","NeighborhoodClearCr","NeighborhoodCollgCr","NeighborhoodCrawfor","NeighborhoodEdwards","NeighborhoodGilbert","NeighborhoodIDOTRR","NeighborhoodMeadowV","NeighborhoodMitchel","NeighborhoodNAmes","NeighborhoodNoRidge","NeighborhoodNPkVill","NeighborhoodNridgHt","NeighborhoodNWAmes","NeighborhoodOldTown","NeighborhoodSawyer","NeighborhoodSawyerW","NeighborhoodSomerst","NeighborhoodStoneBr","NeighborhoodSWISU","NeighborhoodTimber","NeighborhoodVeenker","OverallQual","TotalBsmtSF","GrLivArea","KitchenQualFa","KitchenQualGd","KitchenQualTA","GarageArea","BsmtFinSF1","BsmtFinType1BLQ","BsmtFinType1GLQ","BsmtFinType1LwQ","BsmtFinType1NoBasement","BsmtFinType1Rec","BsmtFinType1Unf","OverallCond","LotArea","X1stFlrSF"
"20",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1026.58965895078,1336.11604134724,0,0,1,294,503.027315099676,0,0,1,0,0,0,6,7558.94634315856,1335.99259288921
"1441",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,585.589658950783,2552.11604134724,0,0,1,672,-0.972684900323611,0,0,0,0,0,1,7,11524.9463431586,1419.99259288921
"1244",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,2073.58965895078,2073.11604134724,0,0,0,850,1385.02731509968,0,1,0,0,0,0,5,13889.9463431586,2072.99259288921
"487",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1070.58965895078,1070.11604134724,0,0,1,515,835.027315099676,0,0,0,0,0,0,7,10287.9463431586,1069.99259288921
"689",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1416.58965895078,1416.11604134724,0,1,0,567,944.027315099676,0,1,0,0,0,0,6,8087.94634315856,1415.99259288921
"856",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1037.58965895078,1037.11604134724,0,0,1,260,658.027315099676,0,0,0,0,0,0,8,6895.94634315856,1036.99259288921
"704",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,357.589658950783,1809.11604134724,0,1,0,672,-0.972684900323611,0,0,0,0,0,1,9,7628.94634315856,1028.99259288921
"266",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1419.58965895078,1419.11604134724,0,1,0,576,587.027315099676,0,1,0,0,0,0,6,12088.9463431586,1418.99259288921
"1179",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,728.589658950783,1340.11604134724,0,0,1,186,-0.972684900323611,0,0,0,0,0,1,6,7679.94634315856,816.99259288921
"952",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,825.589658950783,962.116041347238,0,0,1,300,640.027315099676,1,0,0,0,0,0,5,7798.94634315856,961.99259288921
"1130",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,933.589658950783,933.116041347238,0,0,1,672,935.027315099676,0,1,0,0,0,0,5,7198.94634315856,932.99259288921
"154",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1599.58965895078,1249.11604134724,0,0,1,564,428.027315099676,1,0,0,0,0,0,7,13498.9463431586,1248.99259288921
"1028",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1635.58965895078,1643.11604134724,0,1,0,800,1512.02731509968,0,1,0,0,0,0,5,9518.94634315856,1642.99259288921
"584",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1234.58965895078,2772.11604134724,0,1,0,880,-0.972684900323611,0,0,0,0,0,1,9,13498.9463431586,1517.99259288921
"1165",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1357.58965895078,1429.11604134724,0,1,0,588,679.027315099676,0,0,0,0,0,0,7,16155.9463431586,1428.99259288921
"917",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,477.589658950783,477.116041347238,0,0,1,308,49.0273150996764,1,0,0,0,0,0,3,8998.94634315856,476.99259288921
"1109",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,921.589658950783,1687.11604134724,0,0,1,463,-0.972684900323611,0,0,0,0,0,1,5,8061.94634315856,944.99259288921
"783",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1410.58965895078,1427.11604134724,0,1,0,605,-0.972684900323611,0,0,0,0,0,1,5,16283.9463431586,1426.99259288921
"750",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-2.41034104921716,1526.11604134724,0,0,1,240,-0.972684900323611,0,0,0,1,0,0,3,8403.94634315856,1084.99259288921
"1116",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,1731.58965895078,1731.11604134724,0,0,0,928,1003.02731509968,0,1,0,0,0,0,5,12083.9463431586,1730.99259288921
"33",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1231.58965895078,1231.11604134724,0,1,0,484,-0.972684900323611,0,0,0,0,0,1,5,11047.9463431586,1230.99259288921
"674",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1474.58965895078,1836.11604134724,0,1,0,416,1185.02731509968,0,1,0,0,0,0,7,14440.9463431586,1835.99259288921
"1033",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1335.58965895078,2517.11604134724,0,1,0,796,1011.02731509968,0,1,0,0,0,0,7,14539.9463431586,1348.99259288921
"977",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,437.589658950783,866.116041347238,1,0,0,0,-0.972684900323611,0,0,0,0,0,1,7,5898.94634315856,865.99259288921
"673",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1205.58965895078,1205.11604134724,0,0,1,546,766.027315099676,0,0,0,0,0,0,6,11248.9463431586,1204.99259288921
"1212",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,556.589658950783,1749.11604134724,0,0,1,492,426.027315099676,0,1,0,0,0,0,7,12132.9463431586,1076.99259288921
"616",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,933.589658950783,1051.11604134724,0,1,0,480,762.027315099676,0,1,0,0,0,0,7,8798.94634315856,1050.99259288921
"344",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1681.58965895078,1681.11604134724,0,0,0,564,27.0273150996764,0,1,0,0,0,0,5,8847.94634315856,1680.99259288921
"100",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,947.589658950783,1222.11604134724,0,0,1,0,568.027315099676,0,0,0,0,0,0,5,9318.94634315856,1221.99259288921
"140",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,925.589658950783,1761.11604134724,0,1,0,470,820.027315099676,0,1,0,0,0,0,5,15424.9463431586,924.99259288921
"444",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1255.58965895078,1255.11604134724,0,1,0,648,-0.972684900323611,0,0,0,0,0,1,5,3920.94634315856,1254.99259288921
"727",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,877.589658950783,1677.11604134724,0,1,0,540,807.027315099676,0,1,0,0,0,0,9,21693.9463431586,1676.99259288921
"927",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,1178.58965895078,2371.11604134724,0,0,0,656,-0.972684900323611,0,0,0,0,0,1,5,11997.9463431586,1230.99259288921
"570",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,940.589658950783,940.116041347238,0,0,1,600,942.027315099676,0,1,0,0,0,0,5,7030.94634315856,939.99259288921
"1277",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,720.589658950783,1392.11604134724,0,0,1,497,592.027315099676,1,0,0,0,0,0,6,12934.9463431586,731.99259288921
"411",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1273.58965895078,1273.11604134724,0,0,1,350,-0.972684900323611,0,0,0,0,0,1,3,9569.94634315856,1272.99259288921
"641",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,1515.58965895078,1515.11604134724,0,0,0,588,1217.02731509968,0,1,0,0,0,0,5,12675.9463431586,1514.99259288921
"464",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,712.589658950783,1657.11604134724,0,0,1,240,325.027315099676,0,0,1,0,0,0,7,11986.9463431586,845.99259288921
"908",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1014.58965895078,2054.11604134724,0,1,0,180,222.027315099676,0,0,0,0,1,0,7,11498.9463431586,1016.99259288921
"360",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1083.58965895078,1921.11604134724,0,1,0,592,955.027315099676,0,1,0,0,0,0,5,12009.9463431586,1082.99259288921
"667",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1018.58965895078,2377.11604134724,0,0,1,596,186.027315099676,0,0,1,0,0,0,5,18448.9463431586,1461.99259288921
"1066",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1303.58965895078,2257.11604134724,0,1,0,533,1200.02731509968,0,1,0,0,0,0,5,13998.9463431586,1302.99259288921
"118",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1122.58965895078,1122.11604134724,0,0,1,430,-0.972684900323611,0,0,0,0,0,1,5,8534.94634315856,1121.99259288921
"1216",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,891.589658950783,891.116041347238,0,0,1,384,179.027315099676,0,0,0,0,1,0,5,7092.94634315856,890.99259288921
"471",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1485.58965895078,1499.11604134724,0,1,0,528,367.027315099676,0,1,0,0,0,0,5,6818.94634315856,1498.99259288921
"1419",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1141.58965895078,1141.11604134724,0,0,1,336,24.0273150996764,1,0,0,0,0,0,5,9202.94634315856,1140.99259288921
"481",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1830.58965895078,1847.11604134724,0,1,0,772,1260.02731509968,0,1,0,0,0,0,5,16031.9463431586,1846.99259288921
"463",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,861.589658950783,861.116041347238,0,0,1,360,552.027315099676,0,0,0,0,1,0,5,8279.94634315856,860.99259288921
"660",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1483.58965895078,1483.11604134724,0,0,1,480,636.027315099676,1,0,0,0,0,0,7,9935.94634315856,1482.99259288921
"1234",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1185.58965895078,1185.11604134724,0,0,1,531,999.027315099676,0,0,0,0,1,0,5,12158.9463431586,1184.99259288921
"1195",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,660.589658950783,1349.11604134724,0,0,1,299,370.027315099676,0,0,0,0,0,0,7,9362.94634315856,659.99259288921
"539",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1048.58965895078,1156.11604134724,0,0,1,336,672.027315099676,1,0,0,0,0,0,5,11551.9463431586,1155.99259288921
"1073",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,807.589658950783,1453.11604134724,0,0,1,280,-0.972684900323611,0,0,0,0,0,1,3,7583.94634315856,998.99259288921
"1325",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1792.58965895078,1792.11604134724,0,1,0,895,-0.972684900323611,0,0,0,0,0,1,5,9984.94634315856,1791.99259288921
"599",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1427.58965895078,1644.11604134724,0,1,0,621,1282.02731509968,0,0,0,0,0,0,6,12982.9463431586,1643.99259288921
"982",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1222.58965895078,2609.11604134724,0,1,0,676,853.027315099676,0,1,0,0,0,0,5,12201.9463431586,1272.99259288921
"551",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1066.58965895078,1066.11604134724,0,0,1,440,558.027315099676,0,0,0,0,0,0,6,4041.94634315856,1065.99259288921
"448",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,927.589658950783,1883.11604134724,0,1,0,431,-0.972684900323611,0,0,0,0,0,1,5,11212.9463431586,952.99259288921
"1041",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1131.58965895078,1800.11604134724,0,0,1,484,167.027315099676,0,0,0,0,1,0,4,13123.9463431586,1799.99259288921
"279",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2118.58965895078,2118.11604134724,0,0,0,732,-0.972684900323611,0,0,0,0,0,1,5,14448.9463431586,2117.99259288921
"976",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,670.589658950783,1379.11604134724,0,1,0,490,640.027315099676,0,1,0,0,0,0,5,2649.94634315856,669.99259288921
"167",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1614.58965895078,1864.11604134724,0,0,1,303,378.027315099676,0,0,1,0,0,0,5,10706.9463431586,1863.99259288921
"337",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1919.58965895078,1919.11604134724,0,1,0,676,1248.02731509968,0,1,0,0,0,0,5,14155.9463431586,1918.99259288921
"197",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1723.58965895078,1723.11604134724,0,0,0,786,1125.02731509968,0,1,0,0,0,0,5,9414.94634315856,1722.99259288921
"328",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1380.58965895078,1380.11604134724,0,0,1,292,564.027315099676,0,0,0,0,1,0,5,11598.9463431586,1379.99259288921
"81",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,893.589658950783,2139.11604134724,0,1,0,509,447.027315099676,0,0,0,0,1,0,6,12998.9463431586,1178.99259288921
"878",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1459.58965895078,2221.11604134724,0,0,0,738,1169.02731509968,0,1,0,0,0,0,5,8832.94634315856,1458.99259288921
"1197",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,876.589658950783,1860.11604134724,0,1,0,660,-0.972684900323611,0,0,0,0,0,1,5,14052.9463431586,875.99259288921
"1063",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,659.589658950783,2334.11604134724,0,0,1,560,-0.972684900323611,0,0,0,0,0,1,5,13598.9463431586,1418.99259288921
"1087",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,543.589658950783,1089.11604134724,0,0,1,286,333.027315099676,1,0,0,0,0,0,5,1972.94634315856,542.99259288921
"621",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,861.589658950783,861.116041347238,0,0,1,0,40.0273150996764,1,0,0,0,0,0,3,8246.94634315856,860.99259288921
"559",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,726.589658950783,1443.11604134724,0,0,1,406,603.027315099676,0,1,0,0,0,0,5,21870.9463431586,725.99259288921
"1103",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1007.58965895078,1131.11604134724,0,0,1,254,587.027315099676,0,0,0,0,1,0,7,6998.94634315856,1130.99259288921
"823",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,844.589658950783,1730.11604134724,0,1,0,433,-0.972684900323611,0,0,0,0,0,1,5,12392.9463431586,843.99259288921
"890",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1502.58965895078,1502.11604134724,0,0,1,505,1023.02731509968,1,0,0,0,0,0,4,12158.9463431586,1501.99259288921
"480",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,904.589658950783,1128.11604134724,0,0,1,672,167.027315099676,0,0,0,0,1,0,7,5923.94634315856,1127.99259288921
"367",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1391.58965895078,1391.11604134724,0,0,1,514,608.027315099676,1,0,0,0,0,0,5,9498.94634315856,1390.99259288921
"1346",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,957.589658950783,957.116041347238,1,0,0,308,249.027315099676,0,0,0,0,0,0,4,5998.94634315856,956.99259288921
"858",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,699.589658950783,1478.11604134724,0,0,1,343,-0.972684900323611,0,0,0,0,0,1,5,8123.94634315856,698.99259288921
"289",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,879.589658950783,897.116041347238,0,0,1,280,449.027315099676,1,0,0,0,0,0,5,9817.94634315856,896.99259288921
"175",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1603.58965895078,1648.11604134724,0,0,1,616,1397.02731509968,0,0,0,0,0,0,5,12414.9463431586,1647.99259288921
"646",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,978.589658950783,978.116041347238,0,0,1,576,281.027315099676,0,0,0,0,0,0,5,10528.9463431586,977.99259288921
"1248",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1009.58965895078,1031.11604134724,0,0,1,888,538.027315099676,0,1,0,0,0,0,5,12326.9463431586,1030.99259288921
"808",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1321.58965895078,1573.11604134724,0,1,0,528,1308.02731509968,0,1,0,0,0,0,6,21382.9463431586,1068.99259288921
"1316",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,949.589658950783,2109.11604134724,0,0,1,576,499.027315099676,0,0,0,0,0,0,5,11073.9463431586,1088.99259288921
